track_id,artist_id
1Ox4v6gCBk0iOVtvshkXR3,6PDLwWvgYNMfBRLqC1h5cJ
1Ox4v6gCBk0iOVtvshkXR3,07d5etnpjriczFBB8pxmRe
2wG9CUSBZaF15R2ohLAnoe,4LXBFNxqvOcdBVpbgKn6op
561ANIxwuIDp8n8teVXQiJ,7CajNmpbOovFoOoasH2HaY
561ANIxwuIDp8n8teVXQiJ,1URnnhqYAYcrqrcwql10ft
0WuKc8V6cB4LmTRiNcfkun,4E2rKHVDssGJm2SCDOMMJB
1DIFFX5zpjyxaJvA8YFEji,181bsRPaVXVlUKXrxwZfHK
5hHvFrMnwic82WwRLr4WY0,181bsRPaVXVlUKXrxwZfHK
1xzi1Jcr7mEi9K2RfzLOqS,6vWDO969PvNqNYHIOW5v0m
0z3YYobsavHguLTgqg5GC1,78rUTD7y6Cy67W1RVzYs7t
0z3YYobsavHguLTgqg5GC1,07UJz804RJxqNvxFXC3h9H
6Ve9MNsl8OFg6rHd227bYh,181bsRPaVXVlUKXrxwZfHK
1w7cgGZR86yWz1pA2puVJD,6vWDO969PvNqNYHIOW5v0m
3ceTUPvI4JAuSwFWfeB7Ym,2MPHBxznH1fj59jbOWY38u
1CcorUngVSo7k2GX8GLB53,0s4kXsjYeH0S1xRyVGN4NO
4YkN3JlceD5n2aMqL1kFnH,2JfVCMa3FlvQRlLT5uH9zb
1Fwppfa2qKDAETKveNFsHR,5Vuvs6Py2JRU7WiFDVsI7J
36NukHQiatLeLFXI5eTP1L,61677A13kBwbTfqECI65p8
36NukHQiatLeLFXI5eTP1L,0NIIxcxNHmOoyBx03SfTCD
4imKIkVUzP2Qmf4QeMGrPQ,4fpTMHe34LC5t3h5ztK8qu
2hPNuVVSV1tqiD2uPlfehz,7GN9PivdemQRKjDt4z5Zv8
2qEyhtx20tSCSubM3JXhxu,3jk39CGeaaSO3FPKNx1RUx
2qEyhtx20tSCSubM3JXhxu,5Vuvs6Py2JRU7WiFDVsI7J
3ci2NK0t5iNzLw2u3F4MbM,7gSjFKpVmDgC2MMsnN8CYq
