id,name,followers_total,popularity,external_urls_spotify
6LEeAFiJF8OuPx747e1wxR,Blood Orange,831912,60,https://open.spotify.com/artist/6LEeAFiJF8OuPx747e1wxR
6xKRT9Uw0XOxNsmWX2vNBr,Dana and Alden,37115,47,https://open.spotify.com/artist/6xKRT9Uw0XOxNsmWX2vNBr
7nv9u1rH0xrKytpgKfDKfz,Cinya Khan,5063,32,https://open.spotify.com/artist/7nv9u1rH0xrKytpgKfDKfz
6vcPgFOkMWBoY6Ks6eMEWj,Bullion,23811,36,https://open.spotify.com/artist/6vcPgFOkMWBoY6Ks6eMEWj
3MM3uKNdJbvefUael12dl3,Rochelle Jordan,48822,52,https://open.spotify.com/artist/3MM3uKNdJbvefUael12dl3
2kQnsbKnIiMahOetwlfcaS,Raveena,501043,54,https://open.spotify.com/artist/2kQnsbKnIiMahOetwlfcaS
4cUkGQyhLFqKHBtL58HYVp,Channel Tres,292039,61,https://open.spotify.com/artist/4cUkGQyhLFqKHBtL58HYVp
0DtXHIvJ8NWBg5pGvsgWnR,Leikeli47,264881,45,https://open.spotify.com/artist/0DtXHIvJ8NWBg5pGvsgWnR
3ycxRkcZ67ALN3GQJ57Vig,Masego,1277217,69,https://open.spotify.com/artist/3ycxRkcZ67ALN3GQJ57Vig
1A9o3Ljt67pFZ89YtPPL5X,Snoh Aalegra,1139992,65,https://open.spotify.com/artist/1A9o3Ljt67pFZ89YtPPL5X
4VA3EAvncrTucjTmrvd4GE,LION BABE,208916,45,https://open.spotify.com/artist/4VA3EAvncrTucjTmrvd4GE
21C9Dbg9CD3Dv8NaD7iW8e,BbyMutha,110888,34,https://open.spotify.com/artist/21C9Dbg9CD3Dv8NaD7iW8e
43UmVQp9qZILibJ5vHq21k,Austin Millz,114527,51,https://open.spotify.com/artist/43UmVQp9qZILibJ5vHq21k
5ITI6SEoUZMIXXkzCfr4oE,Aluna,71313,62,https://open.spotify.com/artist/5ITI6SEoUZMIXXkzCfr4oE
0dUYLC7DLjeS8gIh8cz2Pq,Jenevieve,159779,53,https://open.spotify.com/artist/0dUYLC7DLjeS8gIh8cz2Pq
2HVYZvpEGdadr91TCxyPW2,Benziboy,129,26,https://open.spotify.com/artist/2HVYZvpEGdadr91TCxyPW2
1ewyVtTZBqFYWIcepopRhp,Joey Purp,136642,47,https://open.spotify.com/artist/1ewyVtTZBqFYWIcepopRhp
58hqTaCiqGrMsNmmm3qL7w,Bree Runway,146582,48,https://open.spotify.com/artist/58hqTaCiqGrMsNmmm3qL7w
1MaWvJ5Y0Na24KMG79WxDU,Zenizen,1033,3,https://open.spotify.com/artist/1MaWvJ5Y0Na24KMG79WxDU
0Adbm5kzcPUxFybf9fhjgG,Coco & Breezy,16378,44,https://open.spotify.com/artist/0Adbm5kzcPUxFybf9fhjgG
5d6YpWfrSRRZBTgfLt0xcz,Tara Carosielli,19466,40,https://open.spotify.com/artist/5d6YpWfrSRRZBTgfLt0xcz
6I3MElirhT5t6Kf7p0hGk9,Duckwrth,443012,59,https://open.spotify.com/artist/6I3MElirhT5t6Kf7p0hGk9
6GaWtlUT3oavD9SEzhZrA1,Shaun Ross,5409,43,https://open.spotify.com/artist/6GaWtlUT3oavD9SEzhZrA1
5Q81rlcTFh3k6DQJXPdsot,Mura Masa,663510,60,https://open.spotify.com/artist/5Q81rlcTFh3k6DQJXPdsot
4dHH0sPGUjJcRXffp9nr1e,LEILAH,2484,34,https://open.spotify.com/artist/4dHH0sPGUjJcRXffp9nr1e
0SVz62vUjHKkbVOgoTK4Ze,Jordan Stephens,14386,36,https://open.spotify.com/artist/0SVz62vUjHKkbVOgoTK4Ze
2fOvE1l01YyORhYzwoaLCM,Miraa May,58864,48,https://open.spotify.com/artist/2fOvE1l01YyORhYzwoaLCM
7bcjgJLky9kVQ4GcrQTibn,Grace Kelly,19967,36,https://open.spotify.com/artist/7bcjgJLky9kVQ4GcrQTibn
5RTLRtXjbXI2lSXc6jxlAz,Ravyn Lenae,409185,53,https://open.spotify.com/artist/5RTLRtXjbXI2lSXc6jxlAz
3WGpXCj9YhhfX11TToZcXP,Troye Sivan,8096139,79,https://open.spotify.com/artist/3WGpXCj9YhhfX11TToZcXP
1HxfCTl07FhRiJN9jY9kX3,87dance,21304,33,https://open.spotify.com/artist/1HxfCTl07FhRiJN9jY9kX3
6Q7cg6qByDmYzJ6Xs4oTXC,quinn_,1269,11,https://open.spotify.com/artist/6Q7cg6qByDmYzJ6Xs4oTXC
25uiPmTg16RbhZWAqwLBy5,Charli XCX,3043587,74,https://open.spotify.com/artist/25uiPmTg16RbhZWAqwLBy5
2KEqzdPS7M5YwGmiuPTdr5,Rina Sawayama,1002398,59,https://open.spotify.com/artist/2KEqzdPS7M5YwGmiuPTdr5
4fd3n8zcAmsG2up1QWDNj5,Muzi,22443,36,https://open.spotify.com/artist/4fd3n8zcAmsG2up1QWDNj5
6HwxMgE895sejjGFin9Gvm,Samthing Soweto,715012,45,https://open.spotify.com/artist/6HwxMgE895sejjGFin9Gvm
22KyrgRdE2K6aB5wtZls3c,AG Club,114551,45,https://open.spotify.com/artist/22KyrgRdE2K6aB5wtZls3c
68kEuyFKyqrdQQLLsmiatm,Vince Staples,1824806,66,https://open.spotify.com/artist/68kEuyFKyqrdQQLLsmiatm
4kIwETcbpuFgRukE8o7Opx,Arlo Parks,588266,61,https://open.spotify.com/artist/4kIwETcbpuFgRukE8o7Opx
1ybINI1qPiFbwDXamRtwxD,Smino,893846,66,https://open.spotify.com/artist/1ybINI1qPiFbwDXamRtwxD
0Wwji82sLA0Hcvtuak3omb,AUDREY NUNA,202554,46,https://open.spotify.com/artist/0Wwji82sLA0Hcvtuak3omb
2LIk90788K0zvyj2JJVwkJ,Jack Harlow,3484537,85,https://open.spotify.com/artist/2LIk90788K0zvyj2JJVwkJ
7Hjbimq43OgxaBRpFXic4x,Saba,733841,61,https://open.spotify.com/artist/7Hjbimq43OgxaBRpFXic4x
2pgUIUzteEqbNGO4v7kiJB,Ru AREYOU,1949,13,https://open.spotify.com/artist/2pgUIUzteEqbNGO4v7kiJB
