artist_id,genre
7tYKF4w9nC0nq9CsPZTHyP,pop
7tYKF4w9nC0nq9CsPZTHyP,r&b
7tYKF4w9nC0nq9CsPZTHyP,rap
6sFIWsNpZYqfjUpaCgueju,canadian pop
6sFIWsNpZYqfjUpaCgueju,dance pop
6sFIWsNpZYqfjUpaCgueju,pop
3fmMaLC5jjf2N4EC2kTx0u,australian dance
3fmMaLC5jjf2N4EC2kTx0u,australian indie
3fmMaLC5jjf2N4EC2kTx0u,downtempo
3fmMaLC5jjf2N4EC2kTx0u,escape room
6PDLwWvgYNMfBRLqC1h5cJ,alternative r&b
6PDLwWvgYNMfBRLqC1h5cJ,cali rap
07d5etnpjriczFBB8pxmRe,alternative r&b
07d5etnpjriczFBB8pxmRe,chicago rap
4LXBFNxqvOcdBVpbgKn6op,alternative r&b
4LXBFNxqvOcdBVpbgKn6op,pop soul
1URnnhqYAYcrqrcwql10ft,atl hip hop
1URnnhqYAYcrqrcwql10ft,hip hop
1URnnhqYAYcrqrcwql10ft,rap
181bsRPaVXVlUKXrxwZfHK,houston rap
181bsRPaVXVlUKXrxwZfHK,pop
181bsRPaVXVlUKXrxwZfHK,r&b
181bsRPaVXVlUKXrxwZfHK,rap
181bsRPaVXVlUKXrxwZfHK,trap queen
78rUTD7y6Cy67W1RVzYs7t,bedroom pop
07UJz804RJxqNvxFXC3h9H,future bass
07UJz804RJxqNvxFXC3h9H,scottish electronic
07UJz804RJxqNvxFXC3h9H,vapor twitch
2MPHBxznH1fj59jbOWY38u,afrofuturism
2MPHBxznH1fj59jbOWY38u,alternative r&b
2MPHBxznH1fj59jbOWY38u,experimental r&b
2MPHBxznH1fj59jbOWY38u,indie soul
2MPHBxznH1fj59jbOWY38u,la pop
2JfVCMa3FlvQRlLT5uH9zb,vocal jazz
61677A13kBwbTfqECI65p8,indie r&b
0NIIxcxNHmOoyBx03SfTCD,alternative r&b
0NIIxcxNHmOoyBx03SfTCD,dance pop
0NIIxcxNHmOoyBx03SfTCD,metropopolis
0NIIxcxNHmOoyBx03SfTCD,pop
0NIIxcxNHmOoyBx03SfTCD,r&b
0NIIxcxNHmOoyBx03SfTCD,urban contemporary
4fpTMHe34LC5t3h5ztK8qu,r&b
3jk39CGeaaSO3FPKNx1RUx,alternative r&b
3jk39CGeaaSO3FPKNx1RUx,lgbtq+ hip hop
7gSjFKpVmDgC2MMsnN8CYq,hip pop
7gSjFKpVmDgC2MMsnN8CYq,neo soul
7gSjFKpVmDgC2MMsnN8CYq,r&b
7gSjFKpVmDgC2MMsnN8CYq,urban contemporary
1ooV8YZC1KbpEcrmI8WH0F,pop soul
5FxD8fkQZ6KcsSYupDVoSO,bedroom pop
5FxD8fkQZ6KcsSYupDVoSO,bedroom soul
4wXchxfTTggLtzkoUhO86Q,art pop
4wXchxfTTggLtzkoUhO86Q,bubblegrunge
4wXchxfTTggLtzkoUhO86Q,indie pop
4wXchxfTTggLtzkoUhO86Q,indie rock
4wXchxfTTggLtzkoUhO86Q,small room
7MoIc5s9KXolCBH1fy9kkw,art pop
7MoIc5s9KXolCBH1fy9kkw,eugene indie
7MoIc5s9KXolCBH1fy9kkw,indie pop
7MoIc5s9KXolCBH1fy9kkw,indie rock
7MoIc5s9KXolCBH1fy9kkw,philly indie
0cGUm45nv7Z6M6qdXYQGTX,pop
0cGUm45nv7Z6M6qdXYQGTX,r&b
0cGUm45nv7Z6M6qdXYQGTX,rap
0Ek89uaJyo6NfWK22awFvI,alternative r&b
7aFTOGFDEqDtJUCziLVsVC,alternative r&b
7aFTOGFDEqDtJUCziLVsVC,uk contemporary r&b
4ClziihVpBeFXNyDH83Lde,alternative r&b
4ClziihVpBeFXNyDH83Lde,bedroom soul
0HthCchcL0kVLHTr113Vk1,alt z
0HthCchcL0kVLHTr113Vk1,bedroom pop
0HthCchcL0kVLHTr113Vk1,indie pop
0HthCchcL0kVLHTr113Vk1,pov: indie
4rljPSpCHQzUJMNOvmw1DL,la pop
06Iig2bqY8mv98B1c9Iyo8,dreamgaze
06Iig2bqY8mv98B1c9Iyo8,swedish indie rock
6tpaMMCs8X6o8j9H5OmWmT,alternative r&b
6tpaMMCs8X6o8j9H5OmWmT,experimental r&b
6l7R1jntPahGxwJt7Tky8h,experimental r&b
6O5k8LLRfDK8v9jj1GazAQ,british jazz
6O5k8LLRfDK8v9jj1GazAQ,indie soul
1vaQ6v3pOFxAIrFoPrAcom,alternative r&b
57LYzLEk2LcFghVwuWbcuS,r&b
57LYzLEk2LcFghVwuWbcuS,rap
4596e2d3KmYzAeVenjCxfj,alternative r&b
4596e2d3KmYzAeVenjCxfj,indie soul
2oZcMYiKpjaA2Et5mU3RPP,dancehall
2oZcMYiKpjaA2Et5mU3RPP,modern reggae
74CcYmmNeHKe5PrZaISk8e,alternative r&b
7ltDVBr6mKbRvohxheJ9h1,pop
7ltDVBr6mKbRvohxheJ9h1,r&b en espanol
1Xyo4u8uXC1ZmMpatF05PJ,canadian contemporary r&b
1Xyo4u8uXC1ZmMpatF05PJ,canadian pop
1Xyo4u8uXC1ZmMpatF05PJ,pop
3wws8s15DuuQWiG2xct414,boom bap
3wws8s15DuuQWiG2xct414,chill abstract hip hop
3sGyf3EDcvQ4PB9AGIg84M,afrofuturism
3sGyf3EDcvQ4PB9AGIg84M,alternative r&b
3sGyf3EDcvQ4PB9AGIg84M,psychedelic hip hop
6atGQM99IrRfUefJFore1B,alternative r&b
6atGQM99IrRfUefJFore1B,escape room
6atGQM99IrRfUefJFore1B,trap queen
3sHS70DMNgPxRqx2fUNrRA,indie r&b
6YJmIS23jxjp6Edi2zTPzn,samba-jazz
6nB0iY1cjSY1KyhYyuIIKH,afrofuturism
6nB0iY1cjSY1KyhYyuIIKH,alternative r&b
6nB0iY1cjSY1KyhYyuIIKH,art pop
6nB0iY1cjSY1KyhYyuIIKH,escape room
6nB0iY1cjSY1KyhYyuIIKH,experimental r&b
6nB0iY1cjSY1KyhYyuIIKH,trip hop
1anAI9P9iSzc9qzLv6AtHZ,la indie
1JspXUvEv3D9ddMeLNqYWj,modern indie pop
2wIVse2owClT7go1WT98tk,dance pop
2wIVse2owClT7go1WT98tk,hip hop
2wIVse2owClT7go1WT98tk,hip pop
2wIVse2owClT7go1WT98tk,neo soul
2wIVse2owClT7go1WT98tk,pop rap
2wIVse2owClT7go1WT98tk,r&b
2wIVse2owClT7go1WT98tk,rap
2wIVse2owClT7go1WT98tk,urban contemporary
2wIVse2owClT7go1WT98tk,virginia hip hop
581C5Qwl87TskfBEzuoisu,brooklyn indie
581C5Qwl87TskfBEzuoisu,sped up
3M3wTTCDwicRubwMyHyEDy,alternative r&b
3M3wTTCDwicRubwMyHyEDy,art pop
3M3wTTCDwicRubwMyHyEDy,electra
3M3wTTCDwicRubwMyHyEDy,escape room
3M3wTTCDwicRubwMyHyEDy,grimewave
3M3wTTCDwicRubwMyHyEDy,hyperpop
2RqrWplViWHSGLzlhmDcbt,alternative r&b
2RqrWplViWHSGLzlhmDcbt,art pop
2RqrWplViWHSGLzlhmDcbt,escape room
